2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
31.0,0.1096,1408.0,0.1514,14967.5,0.1153,0.922,64215.0,,222.0,222.0,,1325.0,13270.0,0.9492,27189,Claremont McKenna College,2,8,6,31936
,,,0.7879,,0.3434,,,,87.0,87.0,76.0,104.0,5393.0,0.25,4493,United States Sports Academy,2,5,1,15946
,0.4891,,0.172,16750.0,0.1746,0.2304,18474.0,,535.0,535.0,478.0,1372.0,7961.0,0.5215,13732,University of Alaska Southeast,1,8,2,6269
,,,0.5706,50750.0,0.4068,0.8462,38376.0,,123.0,123.0,113.0,131.0,5670.0,0.5143,4049,Southwest University of Visual Arts-Tucson,3,6,4,18060
22.0,0.3891,985.0,0.4847,23250.0,0.2761,0.5238,31435.0,,139.0,139.0,128.0,254.0,5458.0,0.5714,12342,Alaska Pacific University,2,8,2,13109
25.0,0.9574,1107.0,0.6081,27000.0,0.3378,0.6,38764.0,,61.0,61.0,,104.0,5120.0,1.0,6676,VanderCook College of Music,2,3,17,14189
21.0,0.6007,970.0,0.7047,24704.0,0.4621,0.5279,25234.0,,4571.0,4571.0,4088.0,9141.0,8658.0,0.9308,12174,Western Illinois University,1,3,17,7393
26.0,0.8074,1164.0,0.4384,21616.0,0.1918,0.7208,20861.0,,7452.0,7452.0,7072.0,21970.0,10708.0,0.8657,14748,University of Iowa,1,4,19,13757
22.0,0.6808,1010.0,0.7607,24022.0,0.4747,0.5055,42045.0,,1414.0,1414.0,1327.0,1873.0,6481.0,0.1713,6833,Buena Vista University,2,4,19,11423
24.0,0.8114,1090.0,0.631,25000.0,0.3468,0.666,21541.0,,8675.0,8675.0,8288.0,21889.0,8254.0,0.6501,8378,Grand Valley State University,1,3,26,10631
23.0,0.6875,1049.0,0.7248,27000.0,0.3543,0.5898,22357.0,,8018.0,8018.0,7672.0,19954.0,8462.0,0.6537,8397,Central Michigan University,1,3,26,10008
25.0,0.7292,1122.0,0.6217,23500.0,0.2922,0.6307,49675.0,,1287.0,1287.0,1184.0,2586.0,8681.0,1.0,14429,University of Detroit Mercy,2,3,26,24627
16.0,0.5749,780.0,0.8313,35500.0,0.6942,0.2706,28334.0,,447.0,447.0,352.0,676.0,6730.0,0.9178,7971,Marygrove College,2,3,26,10278
23.0,0.8039,1070.0,0.5307,25000.0,0.3165,0.4397,19475.0,,6190.0,6190.0,5807.0,16392.0,8963.0,0.5062,8076,Oakland University,1,3,26,10363
,1.0,,0.108,,0.112,1.0,32635.0,,29.0,29.0,,216.0,6505.0,0.4203,17538,Sacred Heart Major Seminary,2,3,26,17600
23.0,0.6889,1073.0,0.7472,24043.0,0.4478,0.5171,35132.0,,1238.0,1238.0,1154.0,2310.0,5191.0,0.2446,7394,Spring Arbor University,2,3,26,10730
23.0,0.5804,1049.0,0.6269,25000.0,0.4855,0.4978,20275.0,,5789.0,5789.0,5311.0,11737.0,7573.0,0.7667,8784,University of Southern Mississippi,1,5,28,6439
21.0,0.8698,970.0,0.5601,19268.0,0.4262,0.3379,18217.0,,1447.0,1447.0,1315.0,2440.0,6312.0,0.6813,6975,Delta State University,1,5,28,4395
21.0,0.9613,1012.0,0.5916,15000.0,0.4832,0.4722,17125.0,,1452.0,1452.0,1322.0,2192.0,6209.0,0.6995,6502,Mississippi University for Women,1,5,28,4540
